Time,trans_axial,forca,trans_grande,trans_radial,1,2,3,RDP132105,Ref. of axis Actuador axial 10 kN,Number of cycles,LVDT 3,RDP132091,RDP132089,ea,q,Ed_Shoelace,Ed_trapezio,,,
"5:131:7173:429533:429497265,6",5.82874932,0.70385193,6.00711397,0.53337177,3.24419694,1.33046902,2.82240728,0.01004355,1,950000,0.0124776805384615,0.00511718853846154,0.0108554126153846,0.00798630057692308,39.8298715961851,,0.00283750816167273,,,
"5:131:7173:429533:429497290,6",5.86664216,0.82597968,6.04140524,0.53337177,3.25868418,1.33583628,2.85112784,0.01004355,1,950000,0.0125334006923077,0.00513783184615385,0.0109658763076923,0.00805185407692308,46.7408885210531,,0.000906754904866101,,,
"5:131:7173:429533:429497315,6",5.88091686,0.8542341,6.05573592,0.53337177,3.27364383,1.33712714,2.85975514,0.01004355,1,950000,0.0125909378076923,0.00514279669230769,0.0109990582307692,0.00807092746153846,48.3397616258334,,0.00027972173414837,,,
"5:131:7173:429533:429497340,6",5.88169548,0.85661064,6.05573592,0.53337177,3.29080806,1.3377386,2.86214852,0.01004355,1,950000,0.0126569540769231,0.00514514846153846,0.0110082635384615,0.008076706,48.4742462795065,,-8.80334094633328E-05,,,
"5:131:7173:429533:429497365,6",5.87935962,0.8199063,6.05112963,0.47410824,3.30576771,1.33794242,2.86097966,0.01004355,1,950000,0.0127144911923077,0.00514593238461539,0.0110037679230769,0.00807485015384615,46.3972055172219,,-0.00104412113994897,,,
"5:131:7173:429533:429497390,6",5.8643063,0.70556832,6.03833438,0.47410824,3.31490097,1.33794242,2.8484005,0.00986094,1,950000,0.0127496191153846,0.00514593238461539,0.0109553865384615,0.00805065946153846,39.9269994016157,,-0.00104921818030682,,,
"5:131:7173:429533:429497415,6",5.84847436,0.61169499,6.02144465,0.47410824,3.32497905,1.33794242,2.83376192,0.00986094,1,950000,0.0127883809615385,0.00514593238461539,0.0108990843076923,0.00802250834615385,34.614855581528,,-0.00130487614591342,,,
"5:131:7173:429533:429497440,6",5.82485622,0.52217865,5.9932951,0.47410824,3.33411231,1.33733096,2.81322338,0.00986094,1,950000,0.0128235088846154,0.00514358061538462,0.0108200899230769,0.00798183526923077,29.549266959841,,-0.00198595188361653,0.00517552512484912,,
"5:131:7173:429533:429497465,6",5.79241372,0.42025149,5.95542116,0.47410824,3.33694677,1.33339044,2.77843588,0.01004355,1,950000,0.0128344106538462,0.00512842476923077,0.0106862918461538,0.00790735830769231,23.7813695911944,,-0.00223110350103224,,,
"5:131:7173:429533:429497490,6",5.74803238,0.32518989,5.89912206,0.47410824,3.3336399,1.32530558,2.7315145,0.00986094,1,950000,0.0128216919230769,0.00509732915384615,0.010505825,0.00780157707692308,18.4019834442701,,-0.00197111053684025,,,
"5:131:7173:429533:429497515,6",5.69794116,0.24055866,5.84333477,0.47410824,3.32986062,1.31409548,2.67869316,0.00986094,1,950000,0.0128071562307692,0.00505421338461539,0.010302666,0.00767843969230769,13.6128354995778,,-0.00153580216804551,,,
